"Years","Value","Index","Aggregation","District","Severo","Moderado","Leve"
"1982",-0.84,"SPI DJ","SPI 2","Chibuto",0,0,1
"1983",-0.55,"SPI DJ","SPI 2","Chibuto",0,0,0
"1984",0.79,"SPI DJ","SPI 2","Chibuto",0,0,0
"1985",0.68,"SPI DJ","SPI 2","Chibuto",0,0,0
"1986",-0.24,"SPI DJ","SPI 2","Chibuto",0,0,0
"1987",-0.21,"SPI DJ","SPI 2","Chibuto",0,0,0
"1988",-0.08,"SPI DJ","SPI 2","Chibuto",0,0,0
"1989",-2.02,"SPI DJ","SPI 2","Chibuto",1,1,1
"1990",0.61,"SPI DJ","SPI 2","Chibuto",0,0,0
"1991",-0.06,"SPI DJ","SPI 2","Chibuto",0,0,0
"1992",-1.11,"SPI DJ","SPI 2","Chibuto",1,1,1
"1993",0.21,"SPI DJ","SPI 2","Chibuto",0,0,0
"1994",0.3,"SPI DJ","SPI 2","Chibuto",0,0,0
"1995",-0.49,"SPI DJ","SPI 2","Chibuto",0,0,0
"1996",1.08,"SPI DJ","SPI 2","Chibuto",0,0,0
"1997",0.43,"SPI DJ","SPI 2","Chibuto",0,0,0
"1998",0.5,"SPI DJ","SPI 2","Chibuto",0,0,0
"1999",1.35,"SPI DJ","SPI 2","Chibuto",0,0,0
"2000",1.09,"SPI DJ","SPI 2","Chibuto",0,0,0
"2001",-1.22,"SPI DJ","SPI 2","Chibuto",1,1,1
"2002",0.27,"SPI DJ","SPI 2","Chibuto",0,0,0
"2003",-1.31,"SPI DJ","SPI 2","Chibuto",1,1,1
"2004",-0.4,"SPI DJ","SPI 2","Chibuto",0,0,0
"2005",-0.72,"SPI DJ","SPI 2","Chibuto",0,0,1
"2006",0.54,"SPI DJ","SPI 2","Chibuto",0,0,0
"2007",-0.07,"SPI DJ","SPI 2","Chibuto",0,0,0
"2008",0.61,"SPI DJ","SPI 2","Chibuto",0,0,0
"2009",0.24,"SPI DJ","SPI 2","Chibuto",0,0,0
"2010",-0.94,"SPI DJ","SPI 2","Chibuto",0,1,1
"2011",1.91,"SPI DJ","SPI 2","Chibuto",0,0,0
"2012",-0.58,"SPI DJ","SPI 2","Chibuto",0,0,0
"2013",2.01,"SPI DJ","SPI 2","Chibuto",0,0,0
"2014",0.36,"SPI DJ","SPI 2","Chibuto",0,0,0
"2015",-0.17,"SPI DJ","SPI 2","Chibuto",0,0,0
"2016",-1.68,"SPI DJ","SPI 2","Chibuto",1,1,1
"2017",1.55,"SPI DJ","SPI 2","Chibuto",0,0,0
"2018",-1.83,"SPI DJ","SPI 2","Chibuto",1,1,1
"2019",-0.07,"SPI DJ","SPI 2","Chibuto",0,0,0
"2020",-0.26,"SPI DJ","SPI 2","Chibuto",0,0,0
"2021",1.28,"SPI DJ","SPI 2","Chibuto",0,0,0
"1981",0.94,"SPI FM","SPI 2","Chibuto",0,0,0
"1982",-0.03,"SPI FM","SPI 2","Chibuto",0,0,0
"1983",-1.35,"SPI FM","SPI 2","Chibuto",1,1,1
"1984",-0.17,"SPI FM","SPI 2","Chibuto",0,0,0
"1985",0.47,"SPI FM","SPI 2","Chibuto",0,0,0
"1986",-0.9,"SPI FM","SPI 2","Chibuto",0,1,1
"1987",-0.55,"SPI FM","SPI 2","Chibuto",0,0,0
"1988",0.19,"SPI FM","SPI 2","Chibuto",0,0,0
"1989",-0.09,"SPI FM","SPI 2","Chibuto",0,0,0
"1990",0.42,"SPI FM","SPI 2","Chibuto",0,0,0
"1991",0.87,"SPI FM","SPI 2","Chibuto",0,0,0
"1992",-1.45,"SPI FM","SPI 2","Chibuto",1,1,1
"1993",1.05,"SPI FM","SPI 2","Chibuto",0,0,0
"1994",-1.45,"SPI FM","SPI 2","Chibuto",1,1,1
"1995",-0.26,"SPI FM","SPI 2","Chibuto",0,0,0
"1996",0,"SPI FM","SPI 2","Chibuto",0,0,0
"1997",0.61,"SPI FM","SPI 2","Chibuto",0,0,0
"1998",-0.98,"SPI FM","SPI 2","Chibuto",0,1,1
"1999",1.32,"SPI FM","SPI 2","Chibuto",0,0,0
"2000",2.62,"SPI FM","SPI 2","Chibuto",0,0,0
"2001",1.37,"SPI FM","SPI 2","Chibuto",0,0,0
"2002",-1.49,"SPI FM","SPI 2","Chibuto",1,1,1
"2003",0.45,"SPI FM","SPI 2","Chibuto",0,0,0
"2004",1.43,"SPI FM","SPI 2","Chibuto",0,0,0
"2005",-0.55,"SPI FM","SPI 2","Chibuto",0,0,0
"2006",0.88,"SPI FM","SPI 2","Chibuto",0,0,0
"2007",0.04,"SPI FM","SPI 2","Chibuto",0,0,0
"2008",-1.7,"SPI FM","SPI 2","Chibuto",1,1,1
"2009",-0.46,"SPI FM","SPI 2","Chibuto",0,0,0
"2010",-0.59,"SPI FM","SPI 2","Chibuto",0,0,0
"2011",-1.27,"SPI FM","SPI 2","Chibuto",1,1,1
"2012",-0.18,"SPI FM","SPI 2","Chibuto",0,0,0
"2013",-0.92,"SPI FM","SPI 2","Chibuto",0,1,1
"2014",0.48,"SPI FM","SPI 2","Chibuto",0,0,0
"2015",0.16,"SPI FM","SPI 2","Chibuto",0,0,0
"2016",-0.75,"SPI FM","SPI 2","Chibuto",0,0,1
"2017",0.64,"SPI FM","SPI 2","Chibuto",0,0,0
"2018",1.13,"SPI FM","SPI 2","Chibuto",0,0,0
"2019",0.87,"SPI FM","SPI 2","Chibuto",0,0,0
"2020",-0.09,"SPI FM","SPI 2","Chibuto",0,0,0
"2021",1.43,"SPI FM","SPI 2","Chibuto",0,0,0
"1981",0.8,"SPI JF","SPI 2","Chibuto",0,0,0
"1982",-0.22,"SPI JF","SPI 2","Chibuto",0,0,0
"1983",-0.97,"SPI JF","SPI 2","Chibuto",0,1,1
"1984",0.68,"SPI JF","SPI 2","Chibuto",0,0,0
"1985",1.02,"SPI JF","SPI 2","Chibuto",0,0,0
"1986",-0.78,"SPI JF","SPI 2","Chibuto",0,0,1
"1987",-0.87,"SPI JF","SPI 2","Chibuto",0,1,1
"1988",-0.9,"SPI JF","SPI 2","Chibuto",0,1,1
"1989",-0.8,"SPI JF","SPI 2","Chibuto",0,0,1
"1990",0.41,"SPI JF","SPI 2","Chibuto",0,0,0
"1991",0.07,"SPI JF","SPI 2","Chibuto",0,0,0
"1992",-1.08,"SPI JF","SPI 2","Chibuto",1,1,1
"1993",0.09,"SPI JF","SPI 2","Chibuto",0,0,0
"1994",-0.13,"SPI JF","SPI 2","Chibuto",0,0,0
"1995",-1.07,"SPI JF","SPI 2","Chibuto",1,1,1
"1996",1.23,"SPI JF","SPI 2","Chibuto",0,0,0
"1997",1,"SPI JF","SPI 2","Chibuto",0,0,0
"1998",0.45,"SPI JF","SPI 2","Chibuto",0,0,0
"1999",1.47,"SPI JF","SPI 2","Chibuto",0,0,0
"2000",2.42,"SPI JF","SPI 2","Chibuto",0,0,0
"2001",0.38,"SPI JF","SPI 2","Chibuto",0,0,0
"2002",-2,"SPI JF","SPI 2","Chibuto",1,1,1
"2003",-0.25,"SPI JF","SPI 2","Chibuto",0,0,0
"2004",0.36,"SPI JF","SPI 2","Chibuto",0,0,0
"2005",-0.94,"SPI JF","SPI 2","Chibuto",0,1,1
"2006",0.13,"SPI JF","SPI 2","Chibuto",0,0,0
"2007",-0.33,"SPI JF","SPI 2","Chibuto",0,0,0
"2008",-1.06,"SPI JF","SPI 2","Chibuto",1,1,1
"2009",-0.31,"SPI JF","SPI 2","Chibuto",0,0,0
"2010",-0.52,"SPI JF","SPI 2","Chibuto",0,0,0
"2011",1.4,"SPI JF","SPI 2","Chibuto",0,0,0
"2012",-0.91,"SPI JF","SPI 2","Chibuto",0,1,1
"2013",1.7,"SPI JF","SPI 2","Chibuto",0,0,0
"2014",-0.36,"SPI JF","SPI 2","Chibuto",0,0,0
"2015",-0.4,"SPI JF","SPI 2","Chibuto",0,0,0
"2016",-1.51,"SPI JF","SPI 2","Chibuto",1,1,1
"2017",1.38,"SPI JF","SPI 2","Chibuto",0,0,0
"2018",0.32,"SPI JF","SPI 2","Chibuto",0,0,0
"2019",0.88,"SPI JF","SPI 2","Chibuto",0,0,0
"2020",0.46,"SPI JF","SPI 2","Chibuto",0,0,0
"2021",2.18,"SPI JF","SPI 2","Chibuto",0,0,0
"1981",0.52,"SPI ND","SPI 2","Chibuto",0,0,0
"1982",-1.09,"SPI ND","SPI 2","Chibuto",1,1,1
"1983",-0.17,"SPI ND","SPI 2","Chibuto",0,0,0
"1984",0.15,"SPI ND","SPI 2","Chibuto",0,0,0
"1985",0.13,"SPI ND","SPI 2","Chibuto",0,0,0
"1986",-0.24,"SPI ND","SPI 2","Chibuto",0,0,0
"1987",0.33,"SPI ND","SPI 2","Chibuto",0,0,0
"1988",-1.99,"SPI ND","SPI 2","Chibuto",1,1,1
"1989",1.25,"SPI ND","SPI 2","Chibuto",0,0,0
"1990",0.07,"SPI ND","SPI 2","Chibuto",0,0,0
"1991",-1.56,"SPI ND","SPI 2","Chibuto",1,1,1
"1992",1.55,"SPI ND","SPI 2","Chibuto",0,0,0
"1993",0.59,"SPI ND","SPI 2","Chibuto",0,0,0
"1994",0.19,"SPI ND","SPI 2","Chibuto",0,0,0
"1995",-0.38,"SPI ND","SPI 2","Chibuto",0,0,0
"1996",-1.36,"SPI ND","SPI 2","Chibuto",1,1,1
"1997",-0.45,"SPI ND","SPI 2","Chibuto",0,0,0
"1998",2.04,"SPI ND","SPI 2","Chibuto",0,0,0
"1999",0.19,"SPI ND","SPI 2","Chibuto",0,0,0
"2000",0.36,"SPI ND","SPI 2","Chibuto",0,0,0
"2001",2.09,"SPI ND","SPI 2","Chibuto",0,0,0
"2002",-0.21,"SPI ND","SPI 2","Chibuto",0,0,0
"2003",-1.2,"SPI ND","SPI 2","Chibuto",1,1,1
"2004",-0.7,"SPI ND","SPI 2","Chibuto",0,0,1
"2005",0.47,"SPI ND","SPI 2","Chibuto",0,0,0
"2006",0.56,"SPI ND","SPI 2","Chibuto",0,0,0
"2007",1.49,"SPI ND","SPI 2","Chibuto",0,0,0
"2008",0.64,"SPI ND","SPI 2","Chibuto",0,0,0
"2009",-1.05,"SPI ND","SPI 2","Chibuto",1,1,1
"2010",0.75,"SPI ND","SPI 2","Chibuto",0,0,0
"2011",-0.3,"SPI ND","SPI 2","Chibuto",0,0,0
"2012",-0.34,"SPI ND","SPI 2","Chibuto",0,0,0
"2013",0.19,"SPI ND","SPI 2","Chibuto",0,0,0
"2014",0.06,"SPI ND","SPI 2","Chibuto",0,0,0
"2015",-1.35,"SPI ND","SPI 2","Chibuto",1,1,1
"2016",1.01,"SPI ND","SPI 2","Chibuto",0,0,0
"2017",-1.51,"SPI ND","SPI 2","Chibuto",1,1,1
"2018",-0.75,"SPI ND","SPI 2","Chibuto",0,0,1
"2019",-1.31,"SPI ND","SPI 2","Chibuto",1,1,1
"2020",0.41,"SPI ND","SPI 2","Chibuto",0,0,0
"1981",1.91,"SPI ON","SPI 2","Chibuto",0,0,0
"1982",-1.47,"SPI ON","SPI 2","Chibuto",1,1,1
"1983",-0.05,"SPI ON","SPI 2","Chibuto",0,0,0
"1984",0.59,"SPI ON","SPI 2","Chibuto",0,0,0
"1985",0.8,"SPI ON","SPI 2","Chibuto",0,0,0
"1986",-0.3,"SPI ON","SPI 2","Chibuto",0,0,0
"1987",-1.47,"SPI ON","SPI 2","Chibuto",1,1,1
"1988",-0.77,"SPI ON","SPI 2","Chibuto",0,0,1
"1989",1.5,"SPI ON","SPI 2","Chibuto",0,0,0
"1990",-1.37,"SPI ON","SPI 2","Chibuto",1,1,1
"1991",-1.41,"SPI ON","SPI 2","Chibuto",1,1,1
"1992",0.42,"SPI ON","SPI 2","Chibuto",0,0,0
"1993",1.03,"SPI ON","SPI 2","Chibuto",0,0,0
"1994",-0.95,"SPI ON","SPI 2","Chibuto",0,1,1
"1995",-0.38,"SPI ON","SPI 2","Chibuto",0,0,0
"1996",-1.15,"SPI ON","SPI 2","Chibuto",1,1,1
"1997",0.07,"SPI ON","SPI 2","Chibuto",0,0,0
"1998",0.97,"SPI ON","SPI 2","Chibuto",0,0,0
"1999",1.44,"SPI ON","SPI 2","Chibuto",0,0,0
"2000",1.29,"SPI ON","SPI 2","Chibuto",0,0,0
"2001",1.36,"SPI ON","SPI 2","Chibuto",0,0,0
"2002",1.43,"SPI ON","SPI 2","Chibuto",0,0,0
"2003",0.67,"SPI ON","SPI 2","Chibuto",0,0,0
"2004",0.46,"SPI ON","SPI 2","Chibuto",0,0,0
"2005",-0.03,"SPI ON","SPI 2","Chibuto",0,0,0
"2006",-0.41,"SPI ON","SPI 2","Chibuto",0,0,0
"2007",0.32,"SPI ON","SPI 2","Chibuto",0,0,0
"2008",-0.2,"SPI ON","SPI 2","Chibuto",0,0,0
"2009",-0.25,"SPI ON","SPI 2","Chibuto",0,0,0
"2010",-0.2,"SPI ON","SPI 2","Chibuto",0,0,0
"2011",0.18,"SPI ON","SPI 2","Chibuto",0,0,0
"2012",0.68,"SPI ON","SPI 2","Chibuto",0,0,0
"2013",0.13,"SPI ON","SPI 2","Chibuto",0,0,0
"2014",-1.81,"SPI ON","SPI 2","Chibuto",1,1,1
"2015",-0.49,"SPI ON","SPI 2","Chibuto",0,0,0
"2016",-0.58,"SPI ON","SPI 2","Chibuto",0,0,0
"2017",-0.87,"SPI ON","SPI 2","Chibuto",0,1,1
"2018",-1.11,"SPI ON","SPI 2","Chibuto",1,1,1
"2019",-0.05,"SPI ON","SPI 2","Chibuto",0,0,0
"2020",0.09,"SPI ON","SPI 2","Chibuto",0,0,0
"1982",-0.42,"SPI DJF","SPI 3","Chibuto",0,0,0
"1983",-1,"SPI DJF","SPI 3","Chibuto",1,1,1
"1984",0.46,"SPI DJF","SPI 3","Chibuto",0,0,0
"1985",0.84,"SPI DJF","SPI 3","Chibuto",0,0,0
"1986",-0.79,"SPI DJF","SPI 3","Chibuto",0,0,1
"1987",-0.76,"SPI DJF","SPI 3","Chibuto",0,0,1
"1988",-0.24,"SPI DJF","SPI 3","Chibuto",0,0,0
"1989",-1.27,"SPI DJF","SPI 3","Chibuto",1,1,1
"1990",0.6,"SPI DJF","SPI 3","Chibuto",0,0,0
"1991",0.29,"SPI DJF","SPI 3","Chibuto",0,0,0
"1992",-1.61,"SPI DJF","SPI 3","Chibuto",1,1,1
"1993",0.7,"SPI DJF","SPI 3","Chibuto",0,0,0
"1994",-0.26,"SPI DJF","SPI 3","Chibuto",0,0,0
"1995",-0.5,"SPI DJF","SPI 3","Chibuto",0,0,0
"1996",1.13,"SPI DJF","SPI 3","Chibuto",0,0,0
"1997",0.47,"SPI DJF","SPI 3","Chibuto",0,0,0
"1998",0.13,"SPI DJF","SPI 3","Chibuto",0,0,0
"1999",2.08,"SPI DJF","SPI 3","Chibuto",0,0,0
"2000",2.05,"SPI DJF","SPI 3","Chibuto",0,0,0
"2001",-0.03,"SPI DJF","SPI 3","Chibuto",0,0,0
"2002",-0.3,"SPI DJF","SPI 3","Chibuto",0,0,0
"2003",-0.65,"SPI DJF","SPI 3","Chibuto",0,0,0
"2004",-0.05,"SPI DJF","SPI 3","Chibuto",0,0,0
"2005",-1.23,"SPI DJF","SPI 3","Chibuto",1,1,1
"2006",0.16,"SPI DJF","SPI 3","Chibuto",0,0,0
"2007",-0.04,"SPI DJF","SPI 3","Chibuto",0,0,0
"2008",-0.06,"SPI DJF","SPI 3","Chibuto",0,0,0
"2009",0.01,"SPI DJF","SPI 3","Chibuto",0,0,0
"2010",-1.15,"SPI DJF","SPI 3","Chibuto",1,1,1
"2011",1.51,"SPI DJF","SPI 3","Chibuto",0,0,0
"2012",-0.92,"SPI DJF","SPI 3","Chibuto",0,1,1
"2013",1.48,"SPI DJF","SPI 3","Chibuto",0,0,0
"2014",-0.16,"SPI DJF","SPI 3","Chibuto",0,0,0
"2015",0.03,"SPI DJF","SPI 3","Chibuto",0,0,0
"2016",-2.13,"SPI DJF","SPI 3","Chibuto",1,1,1
"2017",1.7,"SPI DJF","SPI 3","Chibuto",0,0,0
"2018",-0.14,"SPI DJF","SPI 3","Chibuto",0,0,0
"2019",0.7,"SPI DJF","SPI 3","Chibuto",0,0,0
"2020",-0.08,"SPI DJF","SPI 3","Chibuto",0,0,0
"2021",2.2,"SPI DJF","SPI 3","Chibuto",0,0,0
"1981",0.7,"SPI JFM","SPI 3","Chibuto",0,0,0
"1982",-0.55,"SPI JFM","SPI 3","Chibuto",0,0,0
"1983",-1.29,"SPI JFM","SPI 3","Chibuto",1,1,1
"1984",0.62,"SPI JFM","SPI 3","Chibuto",0,0,0
"1985",0.85,"SPI JFM","SPI 3","Chibuto",0,0,0
"1986",-0.76,"SPI JFM","SPI 3","Chibuto",0,0,1
"1987",-0.63,"SPI JFM","SPI 3","Chibuto",0,0,0
"1988",-0.47,"SPI JFM","SPI 3","Chibuto",0,0,0
"1989",-0.99,"SPI JFM","SPI 3","Chibuto",0,1,1
"1990",0.47,"SPI JFM","SPI 3","Chibuto",0,0,0
"1991",0.31,"SPI JFM","SPI 3","Chibuto",0,0,0
"1992",-1.38,"SPI JFM","SPI 3","Chibuto",1,1,1
"1993",0.27,"SPI JFM","SPI 3","Chibuto",0,0,0
"1994",-0.49,"SPI JFM","SPI 3","Chibuto",0,0,0
"1995",-1.09,"SPI JFM","SPI 3","Chibuto",1,1,1
"1996",0.84,"SPI JFM","SPI 3","Chibuto",0,0,0
"1997",1.04,"SPI JFM","SPI 3","Chibuto",0,0,0
"1998",0.06,"SPI JFM","SPI 3","Chibuto",0,0,0
"1999",1.15,"SPI JFM","SPI 3","Chibuto",0,0,0
"2000",2.76,"SPI JFM","SPI 3","Chibuto",0,0,0
"2001",0.59,"SPI JFM","SPI 3","Chibuto",0,0,0
"2002",-2.11,"SPI JFM","SPI 3","Chibuto",1,1,1
"2003",-0.26,"SPI JFM","SPI 3","Chibuto",0,0,0
"2004",1.02,"SPI JFM","SPI 3","Chibuto",0,0,0
"2005",-0.71,"SPI JFM","SPI 3","Chibuto",0,0,1
"2006",0.89,"SPI JFM","SPI 3","Chibuto",0,0,0
"2007",-0.38,"SPI JFM","SPI 3","Chibuto",0,0,0
"2008",-1.29,"SPI JFM","SPI 3","Chibuto",1,1,1
"2009",-0.47,"SPI JFM","SPI 3","Chibuto",0,0,0
"2010",-0.64,"SPI JFM","SPI 3","Chibuto",0,0,0
"2011",0.91,"SPI JFM","SPI 3","Chibuto",0,0,0
"2012",-0.56,"SPI JFM","SPI 3","Chibuto",0,0,0
"2013",1.43,"SPI JFM","SPI 3","Chibuto",0,0,0
"2014",0.4,"SPI JFM","SPI 3","Chibuto",0,0,0
"2015",-0.49,"SPI JFM","SPI 3","Chibuto",0,0,0
"2016",-1.21,"SPI JFM","SPI 3","Chibuto",1,1,1
"2017",1.19,"SPI JFM","SPI 3","Chibuto",0,0,0
"2018",0.18,"SPI JFM","SPI 3","Chibuto",0,0,0
"2019",0.59,"SPI JFM","SPI 3","Chibuto",0,0,0
"2020",0.12,"SPI JFM","SPI 3","Chibuto",0,0,0
"2021",1.71,"SPI JFM","SPI 3","Chibuto",0,0,0
"1982",-0.24,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1983",-0.99,"SPI NDJ","SPI 3","Chibuto",0,1,1
"1984",0.73,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1985",0.72,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1986",-0.08,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1987",-0.37,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1988",-0.44,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1989",-2.36,"SPI NDJ","SPI 3","Chibuto",1,1,1
"1990",0.9,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1991",-0.37,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1992",-1.24,"SPI NDJ","SPI 3","Chibuto",1,1,1
"1993",0.36,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1994",0.62,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1995",-0.78,"SPI NDJ","SPI 3","Chibuto",0,0,1
"1996",0.79,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1997",0.26,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1998",0.45,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1999",1.39,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2000",1.34,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2001",-0.38,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2002",0.61,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2003",-0.81,"SPI NDJ","SPI 3","Chibuto",0,0,1
"2004",-0.62,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2005",-0.7,"SPI NDJ","SPI 3","Chibuto",0,0,1
"2006",0.59,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2007",-0.08,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2008",0.67,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2009",0.22,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2010",-0.78,"SPI NDJ","SPI 3","Chibuto",0,0,1
"2011",1.83,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2012",-0.61,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2013",1.85,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2014",0.21,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2015",-0.61,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2016",-1.47,"SPI NDJ","SPI 3","Chibuto",1,1,1
"2017",1.38,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2018",-1.97,"SPI NDJ","SPI 3","Chibuto",1,1,1
"2019",-0.4,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2020",-0.37,"SPI NDJ","SPI 3","Chibuto",0,0,0
"2021",1.11,"SPI NDJ","SPI 3","Chibuto",0,0,0
"1981",0.84,"SPI OND","SPI 3","Chibuto",0,0,0
"1982",-1.07,"SPI OND","SPI 3","Chibuto",1,1,1
"1983",-0.32,"SPI OND","SPI 3","Chibuto",0,0,0
"1984",0.16,"SPI OND","SPI 3","Chibuto",0,0,0
"1985",0.25,"SPI OND","SPI 3","Chibuto",0,0,0
"1986",-0.19,"SPI OND","SPI 3","Chibuto",0,0,0
"1987",0.18,"SPI OND","SPI 3","Chibuto",0,0,0
"1988",-1.47,"SPI OND","SPI 3","Chibuto",1,1,1
"1989",1.31,"SPI OND","SPI 3","Chibuto",0,0,0
"1990",-0.12,"SPI OND","SPI 3","Chibuto",0,0,0
"1991",-2,"SPI OND","SPI 3","Chibuto",1,1,1
"1992",1.39,"SPI OND","SPI 3","Chibuto",0,0,0
"1993",0.4,"SPI OND","SPI 3","Chibuto",0,0,0
"1994",0.16,"SPI OND","SPI 3","Chibuto",0,0,0
"1995",-0.13,"SPI OND","SPI 3","Chibuto",0,0,0
"1996",-1.86,"SPI OND","SPI 3","Chibuto",1,1,1
"1997",-0.51,"SPI OND","SPI 3","Chibuto",0,0,0
"1998",2.2,"SPI OND","SPI 3","Chibuto",0,0,0
"1999",0.19,"SPI OND","SPI 3","Chibuto",0,0,0
"2000",0.13,"SPI OND","SPI 3","Chibuto",0,0,0
"2001",2.1,"SPI OND","SPI 3","Chibuto",0,0,0
"2002",0.22,"SPI OND","SPI 3","Chibuto",0,0,0
"2003",-0.33,"SPI OND","SPI 3","Chibuto",0,0,0
"2004",-0.38,"SPI OND","SPI 3","Chibuto",0,0,0
"2005",0.15,"SPI OND","SPI 3","Chibuto",0,0,0
"2006",0.29,"SPI OND","SPI 3","Chibuto",0,0,0
"2007",1.37,"SPI OND","SPI 3","Chibuto",0,0,0
"2008",0.44,"SPI OND","SPI 3","Chibuto",0,0,0
"2009",-1.37,"SPI OND","SPI 3","Chibuto",1,1,1
"2010",0.52,"SPI OND","SPI 3","Chibuto",0,0,0
"2011",-0.14,"SPI OND","SPI 3","Chibuto",0,0,0
"2012",0.17,"SPI OND","SPI 3","Chibuto",0,0,0
"2013",0.39,"SPI OND","SPI 3","Chibuto",0,0,0
"2014",-0.05,"SPI OND","SPI 3","Chibuto",0,0,0
