"Years","Value","Index","Aggregation","District","Severo","Moderado","Leve"
"2016",0.41,"SPI OND","SPI 3","Changara",0,0,0
"2017",-0.43,"SPI OND","SPI 3","Changara",0,0,0
"2018",0.18,"SPI OND","SPI 3","Changara",0,0,0
"2019",-1.26,"SPI OND","SPI 3","Changara",1,1,1
"2020",0.56,"SPI OND","SPI 3","Changara",0,0,0
"1982",-0.67,"SPI DJ","SPI 2","Marara",0,0,0
"1983",-2.01,"SPI DJ","SPI 2","Marara",1,1,1
"1984",-1.45,"SPI DJ","SPI 2","Marara",1,1,1
"1985",0.09,"SPI DJ","SPI 2","Marara",0,0,0
"1986",1.25,"SPI DJ","SPI 2","Marara",0,0,0
"1987",0.09,"SPI DJ","SPI 2","Marara",0,0,0
"1988",-0.41,"SPI DJ","SPI 2","Marara",0,0,0
"1989",-0.54,"SPI DJ","SPI 2","Marara",0,0,0
"1990",0.88,"SPI DJ","SPI 2","Marara",0,0,0
"1991",-0.98,"SPI DJ","SPI 2","Marara",0,1,1
"1992",-2.14,"SPI DJ","SPI 2","Marara",1,1,1
"1993",0.12,"SPI DJ","SPI 2","Marara",0,0,0
"1994",-1.1,"SPI DJ","SPI 2","Marara",1,1,1
"1995",0.27,"SPI DJ","SPI 2","Marara",0,0,0
"1996",0.69,"SPI DJ","SPI 2","Marara",0,0,0
"1997",1.14,"SPI DJ","SPI 2","Marara",0,0,0
"1998",0.74,"SPI DJ","SPI 2","Marara",0,0,0
"1999",1.39,"SPI DJ","SPI 2","Marara",0,0,0
"2000",-0.67,"SPI DJ","SPI 2","Marara",0,0,0
"2001",-0.62,"SPI DJ","SPI 2","Marara",0,0,0
"2002",-0.16,"SPI DJ","SPI 2","Marara",0,0,0
"2003",-0.35,"SPI DJ","SPI 2","Marara",0,0,0
"2004",-0.03,"SPI DJ","SPI 2","Marara",0,0,0
"2005",0.89,"SPI DJ","SPI 2","Marara",0,0,0
"2006",0.73,"SPI DJ","SPI 2","Marara",0,0,0
"2007",0.33,"SPI DJ","SPI 2","Marara",0,0,0
"2008",1.21,"SPI DJ","SPI 2","Marara",0,0,0
"2009",0.21,"SPI DJ","SPI 2","Marara",0,0,0
"2010",-0.16,"SPI DJ","SPI 2","Marara",0,0,0
"2011",1.1,"SPI DJ","SPI 2","Marara",0,0,0
"2012",0.44,"SPI DJ","SPI 2","Marara",0,0,0
"2013",0.48,"SPI DJ","SPI 2","Marara",0,0,0
"2014",0.01,"SPI DJ","SPI 2","Marara",0,0,0
"2015",1.65,"SPI DJ","SPI 2","Marara",0,0,0
"2016",-1.34,"SPI DJ","SPI 2","Marara",1,1,1
"2017",1.09,"SPI DJ","SPI 2","Marara",0,0,0
"2018",-2.1,"SPI DJ","SPI 2","Marara",1,1,1
"2019",0.89,"SPI DJ","SPI 2","Marara",0,0,0
"2020",-0.53,"SPI DJ","SPI 2","Marara",0,0,0
"2021",1.15,"SPI DJ","SPI 2","Marara",0,0,0
"1981",0.35,"SPI FM","SPI 2","Marara",0,0,0
"1982",0.52,"SPI FM","SPI 2","Marara",0,0,0
"1983",-0.18,"SPI FM","SPI 2","Marara",0,0,0
"1984",0.79,"SPI FM","SPI 2","Marara",0,0,0
"1985",0.44,"SPI FM","SPI 2","Marara",0,0,0
"1986",0,"SPI FM","SPI 2","Marara",0,0,0
"1987",-1.55,"SPI FM","SPI 2","Marara",1,1,1
"1988",0.87,"SPI FM","SPI 2","Marara",0,0,0
"1989",1.27,"SPI FM","SPI 2","Marara",0,0,0
"1990",-0.98,"SPI FM","SPI 2","Marara",0,1,1
"1991",0.63,"SPI FM","SPI 2","Marara",0,0,0
"1992",-1.37,"SPI FM","SPI 2","Marara",1,1,1
"1993",-0.32,"SPI FM","SPI 2","Marara",0,0,0
"1994",-1.32,"SPI FM","SPI 2","Marara",1,1,1
"1995",-1.25,"SPI FM","SPI 2","Marara",1,1,1
"1996",0.64,"SPI FM","SPI 2","Marara",0,0,0
"1997",1.9,"SPI FM","SPI 2","Marara",0,0,0
"1998",-0.49,"SPI FM","SPI 2","Marara",0,0,0
"1999",0.58,"SPI FM","SPI 2","Marara",0,0,0
"2000",1.01,"SPI FM","SPI 2","Marara",0,0,0
"2001",2.08,"SPI FM","SPI 2","Marara",0,0,0
"2002",-0.77,"SPI FM","SPI 2","Marara",0,0,1
"2003",0.66,"SPI FM","SPI 2","Marara",0,0,0
"2004",0.11,"SPI FM","SPI 2","Marara",0,0,0
"2005",-1.92,"SPI FM","SPI 2","Marara",1,1,1
"2006",0.33,"SPI FM","SPI 2","Marara",0,0,0
"2007",0.12,"SPI FM","SPI 2","Marara",0,0,0
"2008",-1.66,"SPI FM","SPI 2","Marara",1,1,1
"2009",-0.3,"SPI FM","SPI 2","Marara",0,0,0
"2010",1.21,"SPI FM","SPI 2","Marara",0,0,0
"2011",-1.58,"SPI FM","SPI 2","Marara",1,1,1
"2012",-0.03,"SPI FM","SPI 2","Marara",0,0,0
"2013",-1.07,"SPI FM","SPI 2","Marara",1,1,1
"2014",0.23,"SPI FM","SPI 2","Marara",0,0,0
"2015",-0.28,"SPI FM","SPI 2","Marara",0,0,0
"2016",-0.54,"SPI FM","SPI 2","Marara",0,0,0
"2017",0.97,"SPI FM","SPI 2","Marara",0,0,0
"2018",0.95,"SPI FM","SPI 2","Marara",0,0,0
"2019",0.27,"SPI FM","SPI 2","Marara",0,0,0
"2020",-0.21,"SPI FM","SPI 2","Marara",0,0,0
"2021",-0.03,"SPI FM","SPI 2","Marara",0,0,0
"1981",-0.5,"SPI JF","SPI 2","Marara",0,0,0
"1982",0.52,"SPI JF","SPI 2","Marara",0,0,0
"1983",-1.54,"SPI JF","SPI 2","Marara",1,1,1
"1984",-0.48,"SPI JF","SPI 2","Marara",0,0,0
"1985",-0.42,"SPI JF","SPI 2","Marara",0,0,0
"1986",0.39,"SPI JF","SPI 2","Marara",0,0,0
"1987",-0.86,"SPI JF","SPI 2","Marara",0,1,1
"1988",0.11,"SPI JF","SPI 2","Marara",0,0,0
"1989",1.2,"SPI JF","SPI 2","Marara",0,0,0
"1990",0.25,"SPI JF","SPI 2","Marara",0,0,0
"1991",0.29,"SPI JF","SPI 2","Marara",0,0,0
"1992",-2.72,"SPI JF","SPI 2","Marara",1,1,1
"1993",-0.01,"SPI JF","SPI 2","Marara",0,0,0
"1994",-1.47,"SPI JF","SPI 2","Marara",1,1,1
"1995",-0.41,"SPI JF","SPI 2","Marara",0,0,0
"1996",0.51,"SPI JF","SPI 2","Marara",0,0,0
"1997",2.49,"SPI JF","SPI 2","Marara",0,0,0
"1998",0.06,"SPI JF","SPI 2","Marara",0,0,0
"1999",1.29,"SPI JF","SPI 2","Marara",0,0,0
"2000",0.89,"SPI JF","SPI 2","Marara",0,0,0
"2001",1.43,"SPI JF","SPI 2","Marara",0,0,0
"2002",-1.21,"SPI JF","SPI 2","Marara",1,1,1
"2003",0.15,"SPI JF","SPI 2","Marara",0,0,0
"2004",0.01,"SPI JF","SPI 2","Marara",0,0,0
"2005",-1.01,"SPI JF","SPI 2","Marara",1,1,1
"2006",0.04,"SPI JF","SPI 2","Marara",0,0,0
"2007",0.34,"SPI JF","SPI 2","Marara",0,0,0
"2008",-0.71,"SPI JF","SPI 2","Marara",0,0,1
"2009",-0.14,"SPI JF","SPI 2","Marara",0,0,0
"2010",0.97,"SPI JF","SPI 2","Marara",0,0,0
"2011",-0.31,"SPI JF","SPI 2","Marara",0,0,0
"2012",0.14,"SPI JF","SPI 2","Marara",0,0,0
"2013",-0.2,"SPI JF","SPI 2","Marara",0,0,0
"2014",0.55,"SPI JF","SPI 2","Marara",0,0,0
"2015",0.78,"SPI JF","SPI 2","Marara",0,0,0
"2016",-1.83,"SPI JF","SPI 2","Marara",1,1,1
"2017",1.5,"SPI JF","SPI 2","Marara",0,0,0
"2018",-0.05,"SPI JF","SPI 2","Marara",0,0,0
"2019",0.71,"SPI JF","SPI 2","Marara",0,0,0
"2020",0.2,"SPI JF","SPI 2","Marara",0,0,0
"2021",0.48,"SPI JF","SPI 2","Marara",0,0,0
"1981",-0.91,"SPI ND","SPI 2","Marara",0,1,1
"1982",-1.04,"SPI ND","SPI 2","Marara",1,1,1
"1983",-0.71,"SPI ND","SPI 2","Marara",0,0,1
"1984",0.24,"SPI ND","SPI 2","Marara",0,0,0
"1985",2.14,"SPI ND","SPI 2","Marara",0,0,0
"1986",-0.02,"SPI ND","SPI 2","Marara",0,0,0
"1987",-0.63,"SPI ND","SPI 2","Marara",0,0,0
"1988",-1.79,"SPI ND","SPI 2","Marara",1,1,1
"1989",0.44,"SPI ND","SPI 2","Marara",0,0,0
"1990",-0.86,"SPI ND","SPI 2","Marara",0,1,1
"1991",-1.3,"SPI ND","SPI 2","Marara",1,1,1
"1992",0.26,"SPI ND","SPI 2","Marara",0,0,0
"1993",-0.25,"SPI ND","SPI 2","Marara",0,0,0
"1994",-0.91,"SPI ND","SPI 2","Marara",0,1,1
"1995",1.37,"SPI ND","SPI 2","Marara",0,0,0
"1996",0.67,"SPI ND","SPI 2","Marara",0,0,0
"1997",0.8,"SPI ND","SPI 2","Marara",0,0,0
"1998",0.92,"SPI ND","SPI 2","Marara",0,0,0
"1999",-1.95,"SPI ND","SPI 2","Marara",1,1,1
"2000",0.72,"SPI ND","SPI 2","Marara",0,0,0
"2001",0.49,"SPI ND","SPI 2","Marara",0,0,0
"2002",-0.9,"SPI ND","SPI 2","Marara",0,1,1
"2003",-1.12,"SPI ND","SPI 2","Marara",1,1,1
"2004",1.72,"SPI ND","SPI 2","Marara",0,0,0
"2005",1.07,"SPI ND","SPI 2","Marara",0,0,0
"2006",0.25,"SPI ND","SPI 2","Marara",0,0,0
"2007",1.44,"SPI ND","SPI 2","Marara",0,0,0
"2008",-1.24,"SPI ND","SPI 2","Marara",1,1,1
"2009",1.16,"SPI ND","SPI 2","Marara",0,0,0
"2010",0.38,"SPI ND","SPI 2","Marara",0,0,0
"2011",-0.07,"SPI ND","SPI 2","Marara",0,0,0
"2012",-0.37,"SPI ND","SPI 2","Marara",0,0,0
"2013",-0.7,"SPI ND","SPI 2","Marara",0,0,1
"2014",0.76,"SPI ND","SPI 2","Marara",0,0,0
"2015",-0.99,"SPI ND","SPI 2","Marara",0,1,1
"2016",0.46,"SPI ND","SPI 2","Marara",0,0,0
"2017",-0.19,"SPI ND","SPI 2","Marara",0,0,0
"2018",0.65,"SPI ND","SPI 2","Marara",0,0,0
"2019",-0.86,"SPI ND","SPI 2","Marara",0,1,1
"2020",0.71,"SPI ND","SPI 2","Marara",0,0,0
"1981",-0.36,"SPI ON","SPI 2","Marara",0,0,0
"1982",-0.1,"SPI ON","SPI 2","Marara",0,0,0
"1983",-1.01,"SPI ON","SPI 2","Marara",1,1,1
"1984",-0.85,"SPI ON","SPI 2","Marara",0,1,1
"1985",1.58,"SPI ON","SPI 2","Marara",0,0,0
"1986",0.8,"SPI ON","SPI 2","Marara",0,0,0
"1987",-0.93,"SPI ON","SPI 2","Marara",0,1,1
"1988",0.6,"SPI ON","SPI 2","Marara",0,0,0
"1989",0.68,"SPI ON","SPI 2","Marara",0,0,0
"1990",-0.11,"SPI ON","SPI 2","Marara",0,0,0
"1991",0.7,"SPI ON","SPI 2","Marara",0,0,0
"1992",0.61,"SPI ON","SPI 2","Marara",0,0,0
"1993",1.12,"SPI ON","SPI 2","Marara",0,0,0
"1994",-1.07,"SPI ON","SPI 2","Marara",1,1,1
"1995",-0.2,"SPI ON","SPI 2","Marara",0,0,0
"1996",0.24,"SPI ON","SPI 2","Marara",0,0,0
"1997",1.3,"SPI ON","SPI 2","Marara",0,0,0
"1998",-0.04,"SPI ON","SPI 2","Marara",0,0,0
"1999",-0.2,"SPI ON","SPI 2","Marara",0,0,0
"2000",2.03,"SPI ON","SPI 2","Marara",0,0,0
"2001",0.15,"SPI ON","SPI 2","Marara",0,0,0
"2002",-0.04,"SPI ON","SPI 2","Marara",0,0,0
"2003",-2.01,"SPI ON","SPI 2","Marara",1,1,1
"2004",0.94,"SPI ON","SPI 2","Marara",0,0,0
"2005",0.13,"SPI ON","SPI 2","Marara",0,0,0
"2006",0.63,"SPI ON","SPI 2","Marara",0,0,0
"2007",0.13,"SPI ON","SPI 2","Marara",0,0,0
"2008",-2.13,"SPI ON","SPI 2","Marara",1,1,1
"2009",0.09,"SPI ON","SPI 2","Marara",0,0,0
"2010",-0.52,"SPI ON","SPI 2","Marara",0,0,0
"2011",0.17,"SPI ON","SPI 2","Marara",0,0,0
"2012",-1.3,"SPI ON","SPI 2","Marara",1,1,1
"2013",-0.51,"SPI ON","SPI 2","Marara",0,0,0
"2014",-2.34,"SPI ON","SPI 2","Marara",1,1,1
"2015",-0.69,"SPI ON","SPI 2","Marara",0,0,1
"2016",0.85,"SPI ON","SPI 2","Marara",0,0,0
"2017",0.86,"SPI ON","SPI 2","Marara",0,0,0
"2018",0.88,"SPI ON","SPI 2","Marara",0,0,0
"2019",0.78,"SPI ON","SPI 2","Marara",0,0,0
"2020",-0.36,"SPI ON","SPI 2","Marara",0,0,0
"1982",0.18,"SPI DJF","SPI 3","Marara",0,0,0
"1983",-1.64,"SPI DJF","SPI 3","Marara",1,1,1
"1984",-0.54,"SPI DJF","SPI 3","Marara",0,0,0
"1985",-0.13,"SPI DJF","SPI 3","Marara",0,0,0
"1986",0.92,"SPI DJF","SPI 3","Marara",0,0,0
"1987",-0.82,"SPI DJF","SPI 3","Marara",0,0,1
"1988",-0.03,"SPI DJF","SPI 3","Marara",0,0,0
"1989",0.52,"SPI DJF","SPI 3","Marara",0,0,0
"1990",0.24,"SPI DJF","SPI 3","Marara",0,0,0
"1991",-0.11,"SPI DJF","SPI 3","Marara",0,0,0
"1992",-3.05,"SPI DJF","SPI 3","Marara",1,1,1
"1993",-0.06,"SPI DJF","SPI 3","Marara",0,0,0
"1994",-1.69,"SPI DJF","SPI 3","Marara",1,1,1
"1995",-0.48,"SPI DJF","SPI 3","Marara",0,0,0
"1996",1.03,"SPI DJF","SPI 3","Marara",0,0,0
"1997",2.38,"SPI DJF","SPI 3","Marara",0,0,0
"1998",0.14,"SPI DJF","SPI 3","Marara",0,0,0
"1999",1.4,"SPI DJF","SPI 3","Marara",0,0,0
"2000",0.16,"SPI DJF","SPI 3","Marara",0,0,0
"2001",1.1,"SPI DJF","SPI 3","Marara",0,0,0
"2002",-0.77,"SPI DJF","SPI 3","Marara",0,0,1
"2003",-0.22,"SPI DJF","SPI 3","Marara",0,0,0
"2004",-0.2,"SPI DJF","SPI 3","Marara",0,0,0
"2005",-0.12,"SPI DJF","SPI 3","Marara",0,0,0
"2006",0.41,"SPI DJF","SPI 3","Marara",0,0,0
"2007",0.21,"SPI DJF","SPI 3","Marara",0,0,0
"2008",0.06,"SPI DJF","SPI 3","Marara",0,0,0
"2009",-0.37,"SPI DJF","SPI 3","Marara",0,0,0
"2010",1.2,"SPI DJF","SPI 3","Marara",0,0,0
"2011",-0.06,"SPI DJF","SPI 3","Marara",0,0,0
"2012",0.05,"SPI DJF","SPI 3","Marara",0,0,0
"2013",-0.19,"SPI DJF","SPI 3","Marara",0,0,0
"2014",0.28,"SPI DJF","SPI 3","Marara",0,0,0
"2015",1.11,"SPI DJF","SPI 3","Marara",0,0,0
"2016",-1.83,"SPI DJF","SPI 3","Marara",1,1,1
"2017",1.32,"SPI DJF","SPI 3","Marara",0,0,0
"2018",-0.35,"SPI DJF","SPI 3","Marara",0,0,0
"2019",0.69,"SPI DJF","SPI 3","Marara",0,0,0
"2020",-0.35,"SPI DJF","SPI 3","Marara",0,0,0
"2021",0.71,"SPI DJF","SPI 3","Marara",0,0,0
"1981",-0.52,"SPI JFM","SPI 3","Marara",0,0,0
"1982",0.18,"SPI JFM","SPI 3","Marara",0,0,0
"1983",-1.46,"SPI JFM","SPI 3","Marara",1,1,1
"1984",-0.14,"SPI JFM","SPI 3","Marara",0,0,0
"1985",0.13,"SPI JFM","SPI 3","Marara",0,0,0
"1986",0.24,"SPI JFM","SPI 3","Marara",0,0,0
"1987",-1.09,"SPI JFM","SPI 3","Marara",1,1,1
"1988",0.58,"SPI JFM","SPI 3","Marara",0,0,0
"1989",1.38,"SPI JFM","SPI 3","Marara",0,0,0
"1990",-0.15,"SPI JFM","SPI 3","Marara",0,0,0
"1991",0.19,"SPI JFM","SPI 3","Marara",0,0,0
"1992",-2.31,"SPI JFM","SPI 3","Marara",1,1,1
"1993",-0.28,"SPI JFM","SPI 3","Marara",0,0,0
"1994",-1.69,"SPI JFM","SPI 3","Marara",1,1,1
"1995",-0.71,"SPI JFM","SPI 3","Marara",0,0,1
"1996",0.33,"SPI JFM","SPI 3","Marara",0,0,0
"1997",2.4,"SPI JFM","SPI 3","Marara",0,0,0
"1998",-0.03,"SPI JFM","SPI 3","Marara",0,0,0
"1999",1.15,"SPI JFM","SPI 3","Marara",0,0,0
"2000",1.07,"SPI JFM","SPI 3","Marara",0,0,0
"2001",1.97,"SPI JFM","SPI 3","Marara",0,0,0
"2002",-1.2,"SPI JFM","SPI 3","Marara",1,1,1
"2003",0.6,"SPI JFM","SPI 3","Marara",0,0,0
"2004",0.14,"SPI JFM","SPI 3","Marara",0,0,0
"2005",-1.39,"SPI JFM","SPI 3","Marara",1,1,1
"2006",0.34,"SPI JFM","SPI 3","Marara",0,0,0
"2007",0.29,"SPI JFM","SPI 3","Marara",0,0,0
"2008",-0.84,"SPI JFM","SPI 3","Marara",0,0,1
"2009",0.02,"SPI JFM","SPI 3","Marara",0,0,0
"2010",0.61,"SPI JFM","SPI 3","Marara",0,0,0
"2011",-0.4,"SPI JFM","SPI 3","Marara",0,0,0
"2012",0.24,"SPI JFM","SPI 3","Marara",0,0,0
"2013",-0.53,"SPI JFM","SPI 3","Marara",0,0,0
"2014",0.27,"SPI JFM","SPI 3","Marara",0,0,0
"2015",0.53,"SPI JFM","SPI 3","Marara",0,0,0
"2016",-1.4,"SPI JFM","SPI 3","Marara",1,1,1
"2017",1.58,"SPI JFM","SPI 3","Marara",0,0,0
"2018",-0.1,"SPI JFM","SPI 3","Marara",0,0,0
"2019",0.72,"SPI JFM","SPI 3","Marara",0,0,0
"2020",-0.19,"SPI JFM","SPI 3","Marara",0,0,0
"2021",0.46,"SPI JFM","SPI 3","Marara",0,0,0
"1982",-0.82,"SPI NDJ","SPI 3","Marara",0,0,1
"1983",-2.14,"SPI NDJ","SPI 3","Marara",1,1,1
"1984",-1.73,"SPI NDJ","SPI 3","Marara",1,1,1
"1985",-0.13,"SPI NDJ","SPI 3","Marara",0,0,0
"1986",1.61,"SPI NDJ","SPI 3","Marara",0,0,0
"1987",0.14,"SPI NDJ","SPI 3","Marara",0,0,0
"1988",-0.64,"SPI NDJ","SPI 3","Marara",0,0,0
"1989",-0.59,"SPI NDJ","SPI 3","Marara",0,0,0
"1990",1,"SPI NDJ","SPI 3","Marara",0,0,0
"1991",-0.98,"SPI NDJ","SPI 3","Marara",0,1,1
"1992",-1.86,"SPI NDJ","SPI 3","Marara",1,1,1
"1993",0.26,"SPI NDJ","SPI 3","Marara",0,0,0
"1994",-0.68,"SPI NDJ","SPI 3","Marara",0,0,1
"1995",-0.07,"SPI NDJ","SPI 3","Marara",0,0,0
"1996",0.55,"SPI NDJ","SPI 3","Marara",0,0,0
"1997",1.14,"SPI NDJ","SPI 3","Marara",0,0,0
"1998",0.97,"SPI NDJ","SPI 3","Marara",0,0,0
"1999",1.38,"SPI NDJ","SPI 3","Marara",0,0,0
"2000",-0.69,"SPI NDJ","SPI 3","Marara",0,0,1
"2001",0.03,"SPI NDJ","SPI 3","Marara",0,0,0
"2002",-0.17,"SPI NDJ","SPI 3","Marara",0,0,0
"2003",-0.41,"SPI NDJ","SPI 3","Marara",0,0,0
"2004",-0.39,"SPI NDJ","SPI 3","Marara",0,0,0
"2005",1.05,"SPI NDJ","SPI 3","Marara",0,0,0
"2006",0.75,"SPI NDJ","SPI 3","Marara",0,0,0
"2007",0.48,"SPI NDJ","SPI 3","Marara",0,0,0
"2008",1.23,"SPI NDJ","SPI 3","Marara",0,0,0
"2009",-0.13,"SPI NDJ","SPI 3","Marara",0,0,0
"2010",-0.12,"SPI NDJ","SPI 3","Marara",0,0,0
"2011",1.01,"SPI NDJ","SPI 3","Marara",0,0,0
"2012",0.41,"SPI NDJ","SPI 3","Marara",0,0,0
"2013",0.25,"SPI NDJ","SPI 3","Marara",0,0,0
"2014",-0.16,"SPI NDJ","SPI 3","Marara",0,0,0
"2015",1.39,"SPI NDJ","SPI 3","Marara",0,0,0
"2016",-1.5,"SPI NDJ","SPI 3","Marara",1,1,1
"2017",1.23,"SPI NDJ","SPI 3","Marara",0,0,0
"2018",-1.67,"SPI NDJ","SPI 3","Marara",1,1,1
"2019",1.05,"SPI NDJ","SPI 3","Marara",0,0,0
"2020",-0.32,"SPI NDJ","SPI 3","Marara",0,0,0
"2021",1.06,"SPI NDJ","SPI 3","Marara",0,0,0
"1981",-0.89,"SPI OND","SPI 3","Marara",0,1,1
"1982",-0.89,"SPI OND","SPI 3","Marara",0,1,1
"1983",-0.73,"SPI OND","SPI 3","Marara",0,0,1
"1984",0.24,"SPI OND","SPI 3","Marara",0,0,0
"1985",2.16,"SPI OND","SPI 3","Marara",0,0,0
"1986",0.17,"SPI OND","SPI 3","Marara",0,0,0
"1987",-0.67,"SPI OND","SPI 3","Marara",0,0,0
"1988",-1.36,"SPI OND","SPI 3","Marara",1,1,1
"1989",0.45,"SPI OND","SPI 3","Marara",0,0,0
"1990",-0.99,"SPI OND","SPI 3","Marara",0,1,1
"1991",-1.27,"SPI OND","SPI 3","Marara",1,1,1
"1992",0.2,"SPI OND","SPI 3","Marara",0,0,0
"1993",-0.29,"SPI OND","SPI 3","Marara",0,0,0
"1994",-0.71,"SPI OND","SPI 3","Marara",0,0,1
"1995",1.46,"SPI OND","SPI 3","Marara",0,0,0
"1996",0.68,"SPI OND","SPI 3","Marara",0,0,0
"1997",0.9,"SPI OND","SPI 3","Marara",0,0,0
"1998",0.85,"SPI OND","SPI 3","Marara",0,0,0
"1999",-2.12,"SPI OND","SPI 3","Marara",1,1,1
"2000",0.76,"SPI OND","SPI 3","Marara",0,0,0
"2001",0.48,"SPI OND","SPI 3","Marara",0,0,0
"2002",-0.9,"SPI OND","SPI 3","Marara",0,1,1
"2003",-1.18,"SPI OND","SPI 3","Marara",1,1,1
"2004",1.77,"SPI OND","SPI 3","Marara",0,0,0
"2005",1.01,"SPI OND","SPI 3","Marara",0,0,0
"2006",0.16,"SPI OND","SPI 3","Marara",0,0,0
"2007",1.41,"SPI OND","SPI 3","Marara",0,0,0
"2008",-1.36,"SPI OND","SPI 3","Marara",1,1,1
"2009",1.11,"SPI OND","SPI 3","Marara",0,0,0
"2010",0.3,"SPI OND","SPI 3","Marara",0,0,0
"2011",-0.05,"SPI OND","SPI 3","Marara",0,0,0
"2012",-0.49,"SPI OND","SPI 3","Marara",0,0,0
"2013",-0.7,"SPI OND","SPI 3","Marara",0,0,1
"2014",0.69,"SPI OND","SPI 3","Marara",0,0,0
"2015",-1.09,"SPI OND","SPI 3","Marara",1,1,1
"2016",0.47,"SPI OND","SPI 3","Marara",0,0,0
"2017",-0.26,"SPI OND","SPI 3","Marara",0,0,0
"2018",0.67,"SPI OND","SPI 3","Marara",0,0,0
"2019",-0.91,"SPI OND","SPI 3","Marara",0,1,1
"2020",0.68,"SPI OND","SPI 3","Marara",0,0,0
